points,direction,correction
"[[10.421875, 32.0], [12.046875, 31.0], [13.6875, 30.0], [14.953125, 29.0], [16.453125, 29.0], [18.21875, 28.0], [19.96875, 27.0], [21.0, 27.0], [22.421875, 26.0], [24.75, 26.0], [24.796875, 25.0], [26.125, 25.0], [28.109375, 24.0], [29.796875, 24.0], [33.96875, 23.0], [34.921875, 23.0], [37.5, 23.0], [37.328125, 22.0], [40.15625, 22.0], [41.484375, 22.0], [42.859375, 22.0], [44.1875, 22.0], [317.59375, 433.0], [318.9375, 430.0], [320.28125, 426.0], [324.4375, 275.0], [325.78125, 275.0], [335.484375, 167.0]]",2.0,-47.0
"[[9.3125, 33.0], [10.703125, 32.0], [11.953125, 31.0], [14.0, 30.0], [15.375, 29.0], [16.703125, 28.0], [18.390625, 28.0], [19.890625, 27.0], [21.484375, 27.0], [22.953125, 26.0], [24.65625, 26.0], [25.734375, 25.0], [26.90625, 25.0], [29.71875, 24.0], [35.046875, 23.0], [36.375, 23.0], [37.703125, 23.0], [37.71875, 22.0], [40.359375, 22.0], [41.6875, 22.0], [43.0625, 22.0], [43.21875, 22.0], [315.578125, 421.0], [316.921875, 427.0], [318.234375, 432.0], [319.59375, 429.0], [320.90625, 423.0], [325.078125, 276.0], [326.4375, 275.0], [336.109375, 164.0]]",356.0,-50.0
"[[8.9375, 33.0], [10.390625, 32.0], [12.140625, 31.0], [12.984375, 30.0], [14.390625, 29.0], [16.796875, 29.0], [17.828125, 28.0], [19.9375, 27.0], [20.75, 27.0], [22.203125, 26.0], [23.75, 26.0], [25.046875, 25.0], [26.484375, 25.0], [29.46875, 25.0], [28.640625, 24.0], [33.953125, 23.0], [35.203125, 23.0], [37.5, 23.0], [37.59375, 22.0], [40.171875, 22.0], [41.515625, 22.0], [41.375, 22.0], [44.21875, 22.0], [315.328125, 420.0], [318.0, 432.0], [319.328125, 428.0], [320.671875, 426.0], [324.890625, 275.0], [326.25, 275.0], [335.890625, 164.0]]",45.0,45.0
"[[7.515625, 34.0], [10.734375, 32.0], [12.34375, 31.0], [13.609375, 30.0], [15.640625, 29.0], [16.65625, 28.0], [17.71875, 28.0], [20.046875, 27.0], [20.875, 27.0], [23.140625, 26.0], [24.21875, 26.0], [26.59375, 25.0], [27.734375, 25.0], [29.34375, 24.0], [35.125, 23.0], [36.46875, 23.0], [36.125, 23.0], [39.140625, 22.0], [39.140625, 22.0], [41.859375, 22.0], [41.796875, 22.0], [43.765625, 22.0], [315.6875, 420.0], [317.015625, 427.0], [318.359375, 432.0], [319.703125, 428.0], [321.03125, 426.0], [325.21875, 276.0], [326.546875, 275.0], [336.265625, 164.0]]",20.0,65.0
"[[10.546875, 32.0], [12.140625, 31.0], [13.546875, 30.0], [14.640625, 29.0], [16.0625, 29.0], [18.46875, 28.0], [19.375, 27.0], [20.890625, 27.0], [23.234375, 26.0], [23.375, 26.0], [25.5625, 25.0], [28.515625, 25.0], [29.359375, 24.0], [33.875, 23.0], [36.28125, 23.0], [36.65625, 23.0], [38.953125, 22.0], [40.28125, 22.0], [41.609375, 22.0], [41.453125, 22.0], [44.296875, 22.0], [315.59375, 421.0], [316.9375, 427.0], [318.28125, 432.0], [319.640625, 429.0], [320.953125, 424.0], [325.125, 276.0], [326.4375, 275.0], [336.171875, 164.0]]",10.0,80.0
"[[356.1875, 25.0], [358.328125, 25.0], [359.1875, 25.0], [359.953125, 25.0], [1.40625, 25.0], [2.546875, 25.0], [4.0625, 25.0], [5.71875, 25.0], [8.046875, 25.0], [8.296875, 25.0], [9.90625, 25.0], [11.375, 25.0], [12.78125, 25.0], [14.09375, 25.0], [15.03125, 26.0], [15.84375, 26.0], [17.171875, 26.0], [18.671875, 26.0], [20.71875, 26.0], [20.984375, 27.0], [22.46875, 27.0], [23.78125, 27.0], [25.265625, 27.0], [34.34375, 30.0], [35.265625, 30.0], [36.234375, 31.0], [37.921875, 31.0], [38.78125, 32.0], [40.40625, 32.0], [41.40625, 33.0], [42.59375, 34.0], [44.140625, 34.0], [315.9375, 34.0], [317.234375, 33.0], [318.203125, 33.0], [319.59375, 32.0], [321.640625, 31.0], [323.21875, 31.0], [324.40625, 30.0], [325.96875, 30.0], [331.390625, 28.0], [333.359375, 28.0], [334.734375, 27.0], [335.296875, 27.0], [336.8125, 27.0], [338.609375, 27.0], [339.453125, 26.0], [340.875, 26.0], [342.953125, 26.0], [344.59375, 26.0], [345.296875, 26.0], [346.78125, 25.0], [347.71875, 25.0], [350.25, 25.0], [350.328125, 25.0], [351.890625, 25.0], [353.625, 25.0], [355.765625, 25.0], [357.4375, 25.0]]",0.0,90.0
"[[356.90625, 25.0], [357.78125, 25.0], [0.3125, 25.0], [0.40625, 25.0], [2.484375, 25.0], [3.03125, 25.0], [5.15625, 25.0], [6.15625, 25.0], [6.546875, 25.0], [8.90625, 25.0], [10.53125, 25.0], [10.578125, 25.0], [12.0, 25.0], [13.046875, 25.0], [15.3125, 26.0], [16.375, 26.0], [18.0625, 26.0], [18.328125, 26.0], [20.4375, 26.0], [21.015625, 27.0], [22.234375, 27.0], [23.46875, 27.0], [24.78125, 27.0], [26.359375, 28.0], [27.84375, 28.0], [33.9375, 30.0], [35.3125, 30.0], [36.875, 31.0], [37.984375, 31.0], [38.96875, 32.0], [40.171875, 32.0], [41.484375, 33.0], [42.453125, 34.0], [44.015625, 34.0], [316.453125, 34.0], [317.734375, 33.0], [318.921875, 32.0], [320.328125, 32.0], [321.9375, 31.0], [323.609375, 31.0], [324.703125, 30.0], [326.328125, 30.0], [331.796875, 28.0], [333.21875, 28.0], [335.53125, 27.0], [336.53125, 27.0], [337.3125, 27.0], [338.71875, 26.0], [340.9375, 26.0], [342.65625, 26.0], [342.828125, 26.0], [344.65625, 26.0], [346.515625, 25.0], [348.40625, 25.0], [348.40625, 25.0], [350.234375, 25.0], [351.109375, 25.0], [352.734375, 25.0], [354.03125, 25.0], [356.328125, 25.0]]",1.0,89.0
"[[356.390625, 25.0], [358.5625, 25.0], [359.578125, 25.0], [1.0, 25.0], [2.796875, 25.0], [4.25, 25.0], [5.328125, 25.0], [6.8125, 25.0], [8.09375, 25.0], [8.34375, 25.0], [10.46875, 25.0], [11.015625, 25.0], [13.859375, 25.0], [13.59375, 26.0], [15.0625, 26.0], [17.125, 26.0], [17.375, 26.0], [19.6875, 26.0], [20.34375, 26.0], [21.734375, 27.0], [22.78125, 27.0], [24.0, 27.0], [25.21875, 27.0], [34.40625, 30.0], [35.65625, 30.0], [36.90625, 31.0], [38.0625, 31.0], [39.40625, 32.0], [40.90625, 33.0], [42.078125, 33.0], [42.96875, 34.0], [44.609375, 35.0], [315.140625, 34.0], [317.15625, 34.0], [317.953125, 33.0], [319.796875, 32.0], [321.046875, 32.0], [322.28125, 31.0], [323.96875, 30.0], [325.03125, 30.0], [326.578125, 29.0], [332.546875, 28.0], [334.359375, 27.0], [335.046875, 27.0], [336.96875, 27.0], [338.21875, 27.0], [339.109375, 26.0], [340.828125, 26.0], [342.25, 26.0], [344.0, 26.0], [344.671875, 26.0], [346.40625, 25.0], [348.28125, 25.0], [349.0625, 25.0], [351.96875, 25.0], [351.359375, 25.0], [353.46875, 25.0], [354.046875, 25.0], [355.859375, 25.0]]",3.0,87.0
"[[357.15625, 25.0], [357.6875, 25.0], [358.84375, 25.0], [0.359375, 25.0], [2.890625, 25.0], [2.625, 25.0], [3.953125, 25.0], [5.515625, 25.0], [6.875, 25.0], [9.796875, 25.0], [9.9375, 25.0], [11.171875, 25.0], [12.59375, 25.0], [13.8125, 25.0], [15.03125, 26.0], [16.140625, 26.0], [17.84375, 26.0], [19.328125, 26.0], [20.984375, 26.0], [21.578125, 27.0], [22.796875, 27.0], [24.609375, 27.0], [25.8125, 27.0], [34.625, 30.0], [35.21875, 30.0], [36.515625, 31.0], [37.703125, 31.0], [39.015625, 32.0], [40.484375, 32.0], [41.890625, 33.0], [43.125, 34.0], [44.390625, 34.0], [315.484375, 34.0], [316.578125, 34.0], [318.140625, 33.0], [319.328125, 32.0], [321.40625, 32.0], [322.734375, 31.0], [324.0625, 30.0], [325.390625, 30.0], [327.125, 29.0], [332.5, 28.0], [333.984375, 27.0], [335.859375, 27.0], [336.84375, 27.0], [338.109375, 27.0], [340.015625, 26.0], [340.53125, 26.0], [341.65625, 26.0], [344.046875, 26.0], [345.78125, 26.0], [347.25, 25.0], [348.078125, 25.0], [348.46875, 25.0], [350.53125, 25.0], [351.5625, 25.0], [353.265625, 25.0], [353.859375, 25.0], [357.0625, 25.0]]",10.0,80.0
"[[357.40625, 25.0], [359.5, 25.0], [0.5, 25.0], [1.328125, 25.0], [2.359375, 25.0], [4.328125, 25.0], [5.03125, 25.0], [7.0625, 25.0], [8.96875, 25.0], [9.578125, 25.0], [10.125, 25.0], [11.53125, 25.0], [13.671875, 25.0], [14.859375, 26.0], [16.59375, 26.0], [17.625, 26.0], [18.359375, 26.0], [19.984375, 26.0], [21.609375, 26.0], [21.796875, 27.0], [23.3125, 27.0], [25.3125, 27.0], [26.640625, 28.0], [27.03125, 28.0], [31.390625, 28.0], [32.03125, 29.0], [33.671875, 30.0], [34.609375, 30.0], [35.921875, 31.0], [37.453125, 31.0], [39.109375, 32.0], [40.046875, 32.0], [41.453125, 33.0], [42.765625, 33.0], [44.015625, 34.0], [316.390625, 34.0], [317.671875, 33.0], [319.015625, 32.0], [320.3125, 32.0], [321.78125, 31.0], [323.53125, 31.0], [325.0, 30.0], [326.65625, 30.0], [332.171875, 28.0], [333.8125, 28.0], [334.65625, 27.0], [336.15625, 27.0], [337.8125, 27.0], [339.015625, 26.0], [340.3125, 26.0], [341.265625, 26.0], [343.265625, 26.0], [344.125, 26.0], [346.46875, 25.0], [347.125, 25.0], [348.671875, 25.0], [349.859375, 25.0], [351.125, 25.0], [352.9375, 25.0], [355.625, 25.0], [357.09375, 25.0]]",15.0,75.0
